Year,States,Total,Compensatory,special education,Child nutrition,Vocational,others,,,,,,,
1998,New Jersey,460096.00 ,151296.00 ,94584.00 ,122110.00 ,16460.00 ,75646.00 ,,,,,,,
1998,New Mexico,152025.00 ,64673.00 ,20788.00 ,51950.00 ,259.00 ,14355.00 ,,,,,,,
1998,New York,1466058.00 ,663998.00 ,155019.00 ,368040.00 ,19616.00 ,259385.00 ,,,,,,,
1998,North Carolina,477632.00 ,139698.00 ,79742.00 ,201236.00 ,17464.00 ,39492.00 ,,,,,,,
1998,North Dakota,54558.00 ,18225.00 ,5808.00 ,9987.00 ,2637.00 ,17901.00 ,,,,,,,
1998,Ohio,703243.00 ,292453.00 ,91637.00 ,161015.00 ,35160.00 ,122978.00 ,,,,,,,
1998,Oklahoma,270447.00 ,85224.00 ,35344.00 ,89892.00 ,27718.00 ,32269.00 ,,,,,,,
1998,Oregon,170154.00 ,72268.00 ,24475.00 ,55265.00 ,6683.00 ,11463.00 ,,,,,,,
1998,Pennsylvania,812722.00 ,317849.00 ,119592.00 ,197964.00 ,31854.00 ,145463.00 ,,,,,,,
1998,Rhode Island,63996.00 ,21752.00 ,8567.00 ,15935.00 ,3592.00 ,14150.00 ,,,,,,,
1998,South Carolina,323797.00 ,94459.00 ,46779.00 ,115492.00 ,13900.00 ,53167.00 ,,,,,,,
1998,South Dakota,51093.00 ,18744.00 ,7850.00 ,12979.00 ,612.00 ,10908.00 ,,,,,,,
1998,Tennessee,389597.00 ,120664.00 ,77630.00 ,126229.00 ,15528.00 ,49546.00 ,,,,,,,
1998,Texas,1614992.00 ,586969.00 ,160797.00 ,651805.00 ,33700.00 ,181721.00 ,,,,,,,
1998,Utah,144591.00 ,28556.00 ,25501.00 ,47885.00 ,7206.00 ,35443.00 ,,,,,,,
1998,Vermont,43453.00 ,15834.00 ,5269.00 ,8215.00 ,2503.00 ,11632.00 ,,,,,,,
1998,Virginia,325946.00 ,107328.00 ,69131.00 ,109673.00 ,15943.00 ,23871.00 ,,,,,,,
1998,Washington,338983.00 ,120468.00 ,55508.00 ,94225.00 ,7020.00 ,61762.00 ,,,,,,,
1998,West Virginia,196298.00 ,76724.00 ,22457.00 ,53662.00 ,8409.00 ,35046.00 ,,,,,,,
1998,Wisconsin,290863.00 ,127368.00 ,50090.00 ,68025.00 ,6340.00 ,39040.00 ,,,,,,,
1998,Wyoming,39857.00 ,16034.00 ,4061.00 ,8401.00 ,2338.00 ,9023.00 ,,,,,,,
1999,United States,21853133.00 ,5240668.00 ,2999213.00 ,6202061.00 ,547802.00 ,6863389.00 ,,,,,,,
1999,Alabama,372263.00 ,130803.00 ,52681.00 ,129969.00 ,7998.00 ,50812.00 ,,,,,,,
1999,Alaska,76554.00 ,23944.00 ,9886.00 ,18731.00 ,2498.00 ,21495.00 ,,,,,,,
1999,Arizona,350008.00 ,115407.00 ,46122.00 ,107107.00 ,13558.00 ,67814.00 ,,,,,,,
1999,Arkansas,219370.00 ,77054.00 ,25283.00 ,71936.00 ,8059.00 ,37038.00 ,,,,,,,
1999,California,3306901.00 ,0.00 ,464314.00 ,902830.00 ,57870.00 ,1881887.00 ,,,,,,,
1999,Colorado,203225.00 ,74675.00 ,40813.00 ,56843.00 ,5207.00 ,25687.00 ,,,,,,,
1999,Connecticut,193996.00 ,70081.00 ,40447.00 ,50011.00 ,7084.00 ,26373.00 ,,,,,,,
1999,Delaware,53330.00 ,17212.00 ,7832.00 ,13061.00 ,3127.00 ,12098.00 ,,,,,,,
1999,District of Columbia,99510.00 ,23162.00 ,4997.00 ,22985.00 ,4350.00 ,44016.00 ,,,,,,,
1999,Florida,1166642.00 ,365008.00 ,179554.00 ,374267.00 ,29816.00 ,217997.00 ,,,,,,,
1999,Georgia,642252.00 ,0.00 ,0.00 ,248749.00 ,0.00 ,393503.00 ,,,,,,,
1999,Hawaii,84797.00 ,18961.00 ,10625.00 ,30592.00 ,2223.00 ,22396.00 ,,,,,,,
1999,Idaho,85384.00 ,25664.00 ,13282.00 ,27377.00 ,3429.00 ,15632.00 ,,,,,,,
1999,Illinois,1040529.00 ,334412.00 ,153993.00 ,235036.00 ,27431.00 ,289657.00 ,,,,,,,
1999,Indiana,367893.00 ,121125.00 ,91661.00 ,90397.00 ,5851.00 ,58859.00 ,,,,,,,
1999,Iowa,174401.00 ,52512.00 ,42504.00 ,48376.00 ,6233.00 ,24776.00 ,,,,,,,
1999,Kansas,185405.00 ,47285.00 ,8466.00 ,57671.00 ,2638.00 ,69345.00 ,,,,,,,
1999,Kentucky,356440.00 ,0.00 ,0.00 ,113565.00 ,0.00 ,242875.00 ,,,,,,,
1999,Louisiana,488151.00 ,198331.00 ,53051.00 ,173161.00 ,14322.00 ,49286.00 ,,,,,,,
1999,Maine,84109.00 ,29920.00 ,25540.00 ,20091.00 ,1988.00 ,6570.00 ,,,,,,,
1999,Maryland,327675.00 ,96150.00 ,63292.00 ,88932.00 ,8554.00 ,70747.00 ,,,,,,,
1999,Massachusetts,395568.00 ,0.00 ,89296.00 ,101088.00 ,11125.00 ,194059.00 ,,,,,,,
1999,Michigan,893932.00 ,326121.00 ,151836.00 ,147540.00 ,26743.00 ,241692.00 ,,,,,,,
1999,Minnesota,304863.00 ,88792.00 ,69556.00 ,79224.00 ,2869.00 ,64422.00 ,,,,,,,
1999,Mississippi,326082.00 ,128441.00 ,38041.00 ,123955.00 ,5590.00 ,30055.00 ,,,,,,,
1999,Missouri,381104.00 ,126095.00 ,70403.00 ,112963.00 ,12445.00 ,59198.00 ,,,,,,,
1999,Montana,67615.00 ,27973.00 ,11140.00 ,15658.00 ,2874.00 ,9970.00 ,,,,,,,
1999,Nebraska,121356.00 ,37107.00 ,23371.00 ,30491.00 ,3539.00 ,26848.00 ,,,,,,,
1999,Nevada,86182.00 ,22174.00 ,17353.00 ,28265.00 ,3692.00 ,14698.00 ,,,,,,,
1999,New Hampshire,51528.00 ,13827.00 ,9189.00 ,10834.00 ,4416.00 ,13262.00 ,,,,,,,
1999,New Jersey,506194.00 ,161899.00 ,107311.00 ,122273.00 ,10133.00 ,104578.00 ,,,,,,,
1999,New Mexico,165871.00 ,66124.00 ,26327.00 ,54566.00 ,1071.00 ,17783.00 ,,,,,,,
